country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM2,KM28,KM282,KM282_0005,SADA,-11.63357632324934,43.36834160220866
KM,KM2,KM28,KM282,KM282_0006,SADANI,,
KM,KM2,KM28,KM282,KM282_0007,CHOMONI,-11.6459983857482,43.39451595956442
KM,KM2,KM28,KM282,KM282_0008,SAMBA MADI,-11.66847338006906,43.4070794352522
KM,KM2,KM28,KM282,KM282_0009,CHAMRO,-11.66072461199041,43.40211020049717
KM,KM2,KM28,KM282,KM282_0010,SIMA YA WACHILI,-11.61380764667526,43.38123777418069
KM,KM2,KM28,KM283,KM283_0001,ITSINKOUDI,,
KM,KM2,KM28,KM283,KM283_0002,DZAHANI,-11.7741939,43.2772945
KM,KM2,KM28,KM283,KM283_0003,DZAHANI,-11.58540886618898,43.37209834234951
KM,KM2,KM28,KM283,KM283_0004,KOUHANI,-11.57131205875416,43.39671832622406
KM,KM2,KM28,KM283,KM283_0005,MTSAMDU,-11.61046307805619,43.3891904648457
KM,KM2,KM28,KM283,KM283_0006,HAMBOU,-11.60352566305956,43.37073160998064
KM,KM2,KM28,KM283,KM283_0007,HASSENDJE,-11.62207595151043,43.39170038642972
KM,KM2,KM28,KM281,KM281_0001,MTSANGADJOU,,
KM,KM2,KM28,KM281,KM281_0002,FOUMBOU DZIVOUNI,-11.70926187312358,43.43320505271263
KM,KM2,KM28,KM281,KM281_0003,MBOUDE,-11.69737505682969,43.42825349265819
KM,KM2,KM28,KM281,KM281_0004,MIDJINDZE,,
KM,KM2,KM28,KM281,KM281_0005,MADJOMA,,
KM,KM2,KM28,KM281,KM281_0006,IDJOINDRADJA,-11.72714747108566,43.43661999605403
KM,KM2,KM28,KM281,KM281_0007,IDJINKOUNDZI,-11.71386165097744,43.42260200593538
KM,KM2,KM28,KM281,KM281_0008,MAOUENI DIMANI,-11.70111317997415,43.42145472882397
KM,KM2,KM28,KM281,KM281_0009,MIRERENI,-11.6934069464393,43.4089948670761
KM,KM2,KM28,KM281,KM281_0010,NTSORALE,-11.69062441838844,43.41562034271662
KM,KM2,KM28,KM281,KM281_0011,SIDJOU,-11.67388143558751,43.41380452121376
KM,KM2,KM28,KM281,KM281_0012,REHEMANI,-11.69115791141486,43.40860778127338
KM,KM2,KM21,KM213,KM213_0001,MBENI,,
KM,KM2,KM21,KM213,KM213_0002,SELEANI,-11.50333713023055,43.39888427710706
KM,KM2,KM21,KM213,KM213_0003,SALIMANI YA HAMAHAMET,-11.51218112137282,43.38605823031016
