country_id,country_name,island_id,island_name,prefecture_id,prefecture_name,commune_id,commune_name,town_village_id,town_village_name,year,population,country_name_local,island_name_local,prefecture_name_local,commune_name_local,town_village_name_local
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0007,ITSANDZENI,2017,1797,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,ITSANDZENI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0010,MBATSE YA HAMAHAMET,2017,225,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,MBATSE YA HAMAHAMET
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0003,MDJIHARI,2017,637,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,MDJIHARI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0004,MOIDJA,2017,1984,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,MOIDJA
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0006,NGOLE,2017,367,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,NGOLE
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0002,NYADOMBWENI,2017,979,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,NYADOMBWENI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0008,OUELLAH YA HAMAHAMET,2017,682,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,OUELLAH YA HAMAHAMET
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM213,Nyuma Msiru,KM213_0008,BATOU,2017,665,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MSIRU,BATOU
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM213,Nyuma Msiru,KM213_0006,BOUNI,2017,1389,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MSIRU,BOUNI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM213,Nyuma Msiru,KM213_0007,HEROUMBILI,2017,1435,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MSIRU,HEROUMBILI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM213,Nyuma Msiru,KM213_0010,IFOUNDIHE YA HAMAHAMET,2017,678,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MSIRU,IFOUNDIHE YA HAMAHAMET
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM213,Nyuma Msiru,KM213_0009,KOURANI YA HAMAHAMET,2017,129,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MSIRU,KOURANI YA HAMAHAMET
